id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,x_cent,y_cent,width,height,place,is_touch,cluster
0,8,2024-12-23 12:30:06,322,9251,Monday,466,95,649,288,558,192,182,193,home,False,-1
1,5,2024-12-23 19:03:39,49,282,Monday,644,254,918,432,781,343,273,178,home,False,-1
2,5,2024-12-23 19:03:40,217,886,Monday,0,98,261,374,130,276,260,360,home,True,0
3,12,2024-12-23 19:04:14,577,4613,Monday,600,518,888,655,754,584,308,152,home,False,-1
4,5,2024-12-23 19:05:07,522,3586,Monday,0,99,242,398,126,264,253,331,home,True,0
5,5,2024-12-23 19:05:09,128,452,Monday,216,13,655,326,418,233,459,292,home,True,0
6,8,2024-12-23 19:05:15,40,224,Monday,409,52,504,176,449,82,54,99,home,False,1
7,8,2024-12-23 19:05:40,51,283,Monday,391,36,514,109,397,92,93,185,home,False,1
8,8,2024-12-23 19:06:00,30,325,Monday,410,26,513,70,470,69,125,23,home,False,1
9,8,2024-12-23 19:08:54,37,207,Monday,350,90,500,200,429,130,80,164,home,False,1
10,8,2024-12-23 19:11:01,32,816,Monday,380,102,418,234,396,142,44,121,home,True,-1
11,8,2024-12-23 19:11:52,34,326,Monday,376,54,499,154,421,111,156,85,home,True,-1
12,8,2024-12-23 19:12:04,31,226,Monday,444,75,502,202,472,101,63,95,home,False,1
13,19,2024-12-23 20:22:23,310,8325,Monday,534,595,732,849,633,722,198,254,home,False,-1
14,5,2024-12-23 20:22:23,310,372,Monday,0,96,256,408,78,212,157,232,home,True,0
15,2,2024-12-23 20:27:33,61,1514,Monday,488,211,624,379,553,292,130,159,home,True,-1
16,9,2024-12-23 20:27:56,38,225,Monday,545,68,687,238,616,153,142,169,home,True,-1
17,2,2024-12-23 20:31:42,30,261,Monday,487,211,623,376,555,291,135,160,home,True,-1
18,8,2025-01-13 19:11:00,71,1999,Monday,347,289,498,352,422,320,151,63,home,True,-1
19,2,2025-01-13 19:11:06,293,1191,Monday,123,57,292,252,208,158,179,208,home,True,-1
20,8,2025-01-13 19:12:12,59,730,Monday,401,113,476,234,438,172,75,122,home,False,1
21,13,2025-01-13 19:12:16,176,987,Monday,291,81,399,246,330,164,80,165,home,False,-1
22,8,2025-01-13 19:13:12,106,918,Monday,428,109,507,221,469,163,77,112,home,False,1
23,8,2025-01-13 19:13:40,62,498,Monday,452,189,508,277,480,233,55,88,home,False,1
24,8,2025-01-13 19:13:48,54,331,Monday,432,88,512,214,472,150,81,124,home,False,1
25,8,2025-01-13 19:14:59,36,735,Monday,430,96,527,185,478,140,96,89,home,False,1
26,2,2025-01-16 15:48:36,40,1179,Thursday,583,100,688,320,636,210,104,220,home,False,-1
27,5,2025-01-16 15:48:53,166,371,Thursday,370,369,902,839,657,616,490,445,home,True,2
28,2,2025-01-16 15:49:16,42,272,Thursday,232,196,424,479,329,303,190,212,home,True,3
29,3,2025-01-16 15:49:16,140,680,Thursday,230,196,425,502,328,351,194,308,home,True,-1
30,2,2025-01-16 15:49:19,143,1999,Thursday,365,76,503,292,515,221,127,219,home,True,3
31,2,2025-01-16 15:51:44,48,951,Thursday,668,145,779,389,712,258,107,261,home,True,3
32,2,2025-01-16 15:52:02,139,2359,Thursday,670,162,773,392,721,279,103,224,home,True,3
33,2,2025-01-16 15:53:12,68,1189,Thursday,670,155,773,391,721,270,103,240,home,True,3
34,8,2025-01-16 15:57:48,431,2541,Thursday,1,267,61,331,31,298,59,63,home,True,-1
35,5,2025-01-16 15:58:04,415,4472,Thursday,339,368,907,846,630,611,554,470,home,True,2
36,3,2025-01-16 15:58:05,414,538,Thursday,91,229,271,413,180,319,194,188,home,True,-1
37,2,2025-01-16 15:58:05,413,211,Thursday,550,513,632,656,591,584,80,143,home,True,3
38,9,2025-01-16 16:50:53,52,509,Thursday,321,154,364,204,343,179,43,49,home,False,-1
39,5,2025-01-16 16:51:13,87,1422,Thursday,470,94,891,438,735,243,465,277,home,True,2
40,8,2025-01-16 16:51:48,103,2430,Thursday,395,132,546,246,510,215,139,107,home,False,-1
41,5,2025-01-16 16:53:04,468,6662,Thursday,277,165,780,612,611,250,383,338,home,False,-1
42,5,2025-01-16 17:00:19,41,582,Thursday,503,22,827,311,685,148,278,293,home,True,2
43,8,2025-01-16 17:01:00,31,828,Thursday,565,295,732,367,672,277,167,59,home,True,-1
44,5,2025-01-16 17:01:27,85,842,Thursday,434,10,956,414,755,187,538,375,home,True,2
45,8,2025-01-16 17:02:33,34,359,Thursday,552,43,613,185,589,112,55,142,home,False,-1
46,5,2025-01-16 17:02:51,181,3645,Thursday,404,32,923,474,703,320,440,308,home,False,-1
47,8,2025-01-16 17:04:09,103,442,Thursday,360,177,410,314,386,246,49,136,home,False,-1
48,5,2025-01-19 15:23:32,31,207,Sunday,526,620,753,843,640,731,225,222,home,False,4
49,4,2025-01-19 15:23:39,65,381,Sunday,1,133,232,320,116,224,231,191,home,True,-1
50,5,2025-01-19 15:23:45,63,859,Sunday,373,43,744,377,555,206,378,332,home,False,4
51,5,2025-01-19 15:24:16,112,396,Sunday,414,530,633,720,472,646,187,225,home,True,5
52,8,2025-01-19 15:24:48,31,731,Sunday,602,244,766,348,667,293,175,84,home,False,6
53,8,2025-01-19 15:25:31,49,558,Sunday,358,338,421,510,397,460,37,107,home,False,6
54,9,2025-01-19 15:25:43,62,838,Sunday,346,359,395,420,370,390,49,60,home,False,7
55,8,2025-01-19 15:25:51,69,342,Sunday,381,389,418,586,400,488,36,197,home,False,6
56,5,2025-01-19 15:26:31,39,844,Sunday,341,26,688,372,511,186,349,330,home,False,4
57,8,2025-01-19 15:27:01,31,935,Sunday,344,396,457,576,401,486,112,180,home,True,-1
58,5,2025-01-19 15:27:39,327,4053,Sunday,221,120,797,518,504,328,575,360,home,True,5
59,4,2025-01-19 15:29:24,179,288,Sunday,954,0,1065,93,1008,46,112,93,home,False,-1
60,5,2025-01-19 15:29:28,218,380,Sunday,97,464,370,718,227,594,262,252,home,True,5
61,5,2025-01-19 15:29:52,219,759,Sunday,100,460,376,715,238,588,275,254,home,True,5
62,8,2025-01-19 15:30:23,34,362,Sunday,444,243,594,356,527,307,167,105,home,True,-1
63,8,2025-01-19 15:31:17,64,403,Sunday,487,113,621,250,607,146,54,115,home,False,6
64,8,2025-01-19 15:32:51,37,742,Sunday,284,328,422,448,328,404,42,176,home,False,6
65,8,2025-01-19 16:34:28,69,474,Sunday,203,169,313,279,261,220,99,118,home,False,6
66,5,2025-01-19 16:34:40,43,740,Sunday,513,378,768,586,619,403,425,435,home,False,4
67,9,2025-01-19 16:37:21,80,2351,Sunday,366,397,520,582,454,500,130,166,home,True,-1
68,13,2025-01-19 16:38:40,116,289,Sunday,248,222,404,346,315,282,152,133,home,False,-1
69,9,2025-01-19 16:38:58,99,2362,Sunday,356,127,505,276,436,199,134,156,home,False,7
70,9,2025-01-19 16:40:38,50,265,Sunday,147,476,358,699,262,650,113,105,home,False,7
71,9,2025-01-19 16:40:41,47,604,Sunday,396,539,536,757,475,647,111,156,home,False,7
72,12,2025-01-20 19:54:20,230,2234,Monday,177,499,422,669,299,584,245,169,home,False,-1
73,8,2025-01-20 19:54:46,116,1683,Monday,625,350,667,512,646,431,42,162,home,False,1
74,9,2025-01-20 19:56:38,92,350,Monday,272,159,309,191,291,175,37,32,home,False,-1
